,hh_id,name,link,salary
429,46595242,Product manager/ Senior product manager (order team),https://chelyabinsk.hh.ru/vacancy/46595242?from=vacancy_search_list&query=data%20analyst,
430,47112357,"Аналитик ML, Антифрод / Сопровождение торговой площадки",https://chelyabinsk.hh.ru/vacancy/47112357?from=vacancy_search_list&query=data%20analyst,
431,44054133,"Infrastructure Engineer (DevOps, Python) - Disaster Management",https://chelyabinsk.hh.ru/vacancy/44054133?from=vacancy_search_list&query=data%20analyst,2 500 – 4 000 USD
432,45863105,Senior Product Manager,https://chelyabinsk.hh.ru/vacancy/45863105?from=vacancy_search_list&query=data%20analyst,
433,43201449,Python разработчик в SberDevices (команда Intelligent Search),https://chelyabinsk.hh.ru/vacancy/43201449?from=vacancy_search_list&query=data%20analyst,
434,46235654,Продуктовый аналитик в Яндекс.Недвижимость (команда Яндекс.Вертикали),https://chelyabinsk.hh.ru/vacancy/46235654?from=vacancy_search_list&query=data%20analyst,
435,45909947,Продуктовый аналитик (Международные проекты),https://chelyabinsk.hh.ru/vacancy/45909947?from=vacancy_search_list&query=data%20analyst,
436,46137061,Senior Recruiter (contractor),https://chelyabinsk.hh.ru/vacancy/46137061?from=vacancy_search_list&query=data%20analyst,
437,46671158,Специалист по контекстной рекламе,https://chelyabinsk.hh.ru/vacancy/46671158?from=vacancy_search_list&query=data%20analyst,
438,44687252,Менеджер продукта (Прогнозирование спроса),https://chelyabinsk.hh.ru/vacancy/44687252?from=vacancy_search_list&query=data%20analyst,
439,46603828,Директор проектов Data Science,https://chelyabinsk.hh.ru/vacancy/46603828?from=vacancy_search_list&query=data%20analyst,
440,46453989,Синиор/мид продакт менеджер для внутренних Data&Analytics продуктов Магнит (Промо),https://chelyabinsk.hh.ru/vacancy/46453989?from=vacancy_search_list&query=data%20analyst,
441,44878610,Менеджер по технологическим проектам Big Data,https://chelyabinsk.hh.ru/vacancy/44878610?from=vacancy_search_list&query=data%20analyst,
442,46797846,DevOps Engineer (Bioinformatics),https://chelyabinsk.hh.ru/vacancy/46797846?from=vacancy_search_list&query=data%20analyst,200 000 – 270 000 руб.
