,sj_id,name,link,salary
205,38243856,Аналитик,https://www.superjob.ru/vakansii/analitik-38243856.html,100 000 — 120 000 руб./месяц
206,38602169,Бизнес-аналитик,https://www.superjob.ru/vakansii/biznes-analitik-38602169.html,По договорённости
207,27392339,Аналитик данных,https://www.superjob.ru/vakansii/analitik-dannyh-27392339.html,от 52 000 руб./месяц
208,38467477,Консультант-аналитик 1С,https://www.superjob.ru/vakansii/konsultant-analitik-1s-38467477.html,По договорённости
209,38466682,Начинающий Аналитик 1С,https://www.superjob.ru/vakansii/nachinayuschij-analitik-1s-38466682.html,По договорённости
210,37480042,Консультант-аналитик 1С,https://www.superjob.ru/vakansii/konsultant-analitik-1s-37480042.html,до 100 000 руб./месяц
211,38385939,Аналитик,https://www.superjob.ru/vakansii/analitik-38385939.html,По договорённости
212,38466147,Аналитик IT,https://www.superjob.ru/vakansii/analitik-it-38466147.html,По договорённости
213,38277415,Бизнес-аналитик 1С (удаленно),https://www.superjob.ru/vakansii/biznes-analitik-1s-38277415.html,от 80 000 руб./месяц
214,38464932,Ведущий аналитик 1С: ERP,https://www.superjob.ru/vakansii/veduschij-analitik-1s-38464932.html,от 80 000 руб./месяц
215,38274070,"Руководитель отдела межфункционального взаимодействия (аналитика, маркетинг, продажи)",https://www.superjob.ru/vakansii/rukovoditel-otdela-mezhfunkcionalnogo-vzaimodejstviya-38274070.html,По договорённости
216,38464850,Консультант-аналитик 1С / Методолог 1С,https://www.superjob.ru/vakansii/konsultant-analitik-1s-38464850.html,от 120 000 руб./месяц
217,38592296,Ведущий системный аналитик,https://www.superjob.ru/vakansii/veduschij-sistemnyj-analitik-38592296.html,от 67 000 руб./месяц
218,36189246,"Бизнес-аналитик, консультант 1С",https://www.superjob.ru/vakansii/biznes-analitik-36189246.html,от 80 000 руб./месяц
219,36937998,Менеджер отдела складского учета и аналитики,https://www.superjob.ru/vakansii/menedzher-otdela-skladskogo-ucheta-i-analitiki-36937998.html,40 000 — 50 000 руб./месяц
220,38296665,Финансовый аналитик,https://www.superjob.ru/vakansii/finansovyj-analitik-38296665.html,По договорённости
221,37857105,"Инвестиционный/финансовый аналитик (производственная сфера, огнеупорная продукция)",https://www.superjob.ru/vakansii/investicionnyj-37857105.html,По договорённости
222,33723411,Провизор-технолог/провизор-аналитик рецептурно-производственного отдела аптеки,https://www.superjob.ru/vakansii/provizor-tehnolog-33723411.html,65 000 руб./месяц
223,37788757,Аналитик СЭДО,https://www.superjob.ru/vakansii/analitik-sedo-37788757.html,от 28 000 руб./месяц
224,38578613,Экономист-аналитик,https://www.superjob.ru/vakansii/ekonomist-analitik-38578613.html,100 000 руб./месяц
225,29475179,Электроник-аналитик,https://www.superjob.ru/vakansii/elektronik-analitik-29475179.html,от 17 000 руб./месяц
226,37717476,Трейд-маркетолог / Маркетолог-аналитик,https://www.superjob.ru/vakansii/trejd-marketolog-37717476.html,от 80 000 руб./месяц
227,38250142,Юрист-аналитик,https://www.superjob.ru/vakansii/yurist-analitik-38250142.html,80 000 — 100 000 руб./месяц
228,38368620,Инженер-аналитик,https://www.superjob.ru/vakansii/inzhener-analitik-38368620.html,от 70 000 руб./месяц
229,38572171,Аналитик поддержки приложений,https://www.superjob.ru/vakansii/analitik-podderzhki-prilozhenij-38572171.html,По договорённости
230,38571142,Программист-аналитик 1С,https://www.superjob.ru/vakansii/programmist-analitik-1s-38571142.html,от 100 000 руб./месяц
231,38570989,Бизнес-аналитик в транспортную компанию,https://www.superjob.ru/vakansii/biznes-analitik-v-transportnuyu-kompaniyu-38570989.html,По договорённости
232,38565756,"Экономист, финансовый аналитик",https://www.superjob.ru/vakansii/ekonomist-38565756.html,от 80 000 руб./месяц
233,38450337,Системный аналитик,https://www.superjob.ru/vakansii/sistemnyj-analitik-38450337.html,до 250 000 руб./месяц
234,38450225,Системный аналитик,https://www.superjob.ru/vakansii/sistemnyj-analitik-38450225.html,По договорённости
235,26894273,"Менеджер по торговому маркетингу, аналитик-маркетолог",https://www.superjob.ru/vakansii/menedzher-po-torgovomu-marketingu-26894273.html,до 45 000 руб./месяц
236,37086857,Специалист технической поддержки 1C / Консультант 1C / Аналитик 1С,https://www.superjob.ru/vakansii/specialist-tehnicheskoj-podderzhki-1c-37086857.html,По договорённости
237,31712046,Аналитик,https://www.superjob.ru/vakansii/analitik-31712046.html,35 000 — 40 000 руб./месяц
238,38138526,Трейд-маркетинг менеджер / Аналитик,https://www.superjob.ru/vakansii/trejd-marketing-menedzher-38138526.html,По договорённости
239,38568973,Бизнес-аналитик (консультант 1С),https://www.superjob.ru/vakansii/biznes-analitik-38568973.html,По договорённости
